#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
#Microposts,Katrin Weller(2),Kara Greenfield(2),Kelly Geyer(2),Alyssa C. Mensch(2),Danica Radovanovic(2),Aba-Sah Dadzie(2),Olga Simek(2),Harald Sack(1),Nemanja Djuric(1),Marieke van Erp(1)
*SEM@COLING,Sabine Schulte im Walde(2),Deepak P 0001(1),James Pustejovsky(1),Torsten Zesch(1),Nitish Aggarwal(1),Anders Johannsen(1),Lucy Vanderwende(1),Anh Tran(1),Barbara Plank(1),Steve L. Manion(1)
*SEM@NAACL-HLT,Benjamin Van Durme(7),Mona T. Diab(6),Rada Mihalcea(6),Timothy Baldwin(6),Eneko Agirre(5),Dan Roth(5),Anette Frank(5),Ido Dagan(4),Steven Bethard(4),Sebastian Padó(4)
10th Anniversary Colloquium of UNU/IIST,Bernhard K. Aichernig(2),T. S. E. Maibaum(2),Chris George(1),Naoki Kobayashi 0001(1),Paul A. Bailes(1),Alexandre David(1),Natarajan Shankar(1),José Luiz Fiadeiro(1),Markus Kaltenbach(1),Dang Van Hung(1)
25 Years GULP,Paolo Torroni(2),Frank D. Valencia(1),Annalisa Bossi(1),Marco Gavanelli(1),Alberto Momigliano(1),María Alpuente(1),Sergio Greco(1),Gianfranco Rossi(1),Catuscia Palamidessi(1),Matteo Baldoni(1)
3D Multiscale Physiological Human,Nadia Magnenat-Thalmann(3),Daniel Thalmann(2),Gavin Olender(1),Jan Rzepecki(1),Sara Trombella(1),Pascal Perrier(1),Sean Lynch(1),Ian Stavness(1),Karelia Tecante(1),Joaquim Miguel Oliveira(1)
3D Research Challenges in Cultural Heritage,Sander Münster(2),Dieter W. Fellner(2),Jennifer von Schwerin(1),Mario E. Santana-Quintero(1),Daniel Thalmann(1),Patrick Callet(1),Oliver Hauck(1),Fabrizio Ivan Apollonio(1),Cindy Kröber(1),Moritz Neumüller(1)
3D-GIS,Alias Abdul-Rahman(5),Ayman F. Habib(4),Volker Coors(3),Francesco Fassi(3),Sisi Zlatanova(3),Weihong Cui(2),Mohammad Reza Malek(2),Jan Kolár(2),Wenzhong Shi(2),Jiann-Yeou Rau(2)
3DCVE@VR,Thierry Duval(6),Valérie Gouranton(4),Bruno Arnaldi(4),Morgan Le Chénéchal(3),Jérôme Royan(3),Florian Nouviale(1),Sascha Gebhardt(1),Nicolas Ladeveze(1),Bernd Hentschel 0001(1),Anderson Maciel(1)
3DIM,Robert B. Fisher(10),Michael A. Greenspan(8),Luc Van Gool(8),Hongbin Zha(7),Katsushi Ikeuchi(6),Tsutomu Hasegawa(6),François Blais(6),Denis Laurendeau(6),Gerhard Roth(6),Martial Hebert(6)
3DOR@Eurographics,Afzal Godil(24),Ryutarou Ohbuchi(20),Takahiko Furuya(19),Ioannis Pratikakis(18),Tobias Schreck(17),Masaki Aono(17),Andrea Giachetti 0001(17),Benjamin Bustos(16),Bo Li 0013(16),Silvia Biasotti(16)
3DTV-Conference,Atanas P. Gotchev(12),Miska M. Hannuksela(10),Mårten Sjöström(8),Moncef Gabbouj(8),Péter Tamás Kovács(7),Roger Olsson(7),Amar Aggoun(7),Narciso García(7),Marek Domanski(6),Sérgio M. M. de Faria(5)
3DV (Workshops),Ryusuke Sagawa(2),Ryo Furukawa(2),Hiroshi Kawasaki(2),Kai-Che Liu(1),Huangjing Lin(1),Yoshio Matsumoto(1),Mohammad Rouhani(1),Luc Cournoyer(1),Yipin Yang(1),Anders B. Dahl(1)
3PGCIC,Fatos Xhafa(42),Xu An Wang(40),Nadeem Javaid(30),Leonard Barolli(28),Peter Hellinckx(23),Tomoki Yoshihisa(20),Flora Amato(18),Valentin Cristea(17),Kaoru Sugita(16),Siegfried Mercelis(16)
5G World Forum,Gerhard P. Fettweis(10),Naser Ojaroudi Parchin(6),Raed A. Abd-Alhameed(6),Frank H. P. Fitzek(5),Riku Jäntti(5),Matthew Andrews(5),Hani Salah(5),Yasir Ismael Abdulraheem Al-Yasir(5),Ahmed Maan Abdulkhaleq(4),James M. Noras(4)
5GU,Marja Matinmikko(6),Matti Latva-aho(4),Mérouane Debbah(3),Seppo Yrjölä(3),Tinku Rasheed(3),Marcos D. Katz(3),Nandana Rajatheva(3),Esko Luttinen(2),Nuutti Tervo(2),Marko Sonkki(2)
6G SUMMIT,Marja Matinmikko-Blue(5),Aarno Pärssinen(5),Matti Latva-aho(4),Seppo Yrjölä(4),Gerhard P. Fettweis(3),Marko E. Leinonen(3),Petri Ahokangas(3),Behrouz Farhang-Boroujeny(2),Zhisheng Niu(2),Dileepa Marasinghe(2)
A Guide to Publishing for Academics,Daniel E. O'Leary(1),Jeremy Hall(1),Sibel McGee(1),Irmak Renda-Tanali(1),John S. Edwards(1),Donald E. Brown(1),Suprateek Sarker(1),Dennis E. Logue(1),Duane Windsor(1),James R. Marsden(1)
A K Peters/CRC Press,William R. Sherman(1)
A Perspective in Theoretical Computer Science,Rani Siromoney(4),Gift Siromoney(3),K. G. Subramanian 0001(2),Kamala Krithivasan(2),Madhavan Mukund(1),T. Robinson 0001(1),Abdul Huq(1),M. Chandrasekaran(1),M. G. Vijaynarayana(1),Karel Culik II(1)
A-MOST,Franz Wotawa(2),Gordon Fraser(2),Bruno Legeard(2),Eddie Jaffuel(2),Fabrice Bouquet(2),Mark Utting(2),Fabien Peureux(2),James Bret Michael(1),Nicolas Kicillof(1),Christopher M. Lott(1)
A-Mobile@ASE,Alexander Pretschner(2),Aleieldin Salem(2),Emily Kowalczyk(1),Sümeyye Süslü(1),Francesco Pinci(1),Atif M. Memon(1),Rigel Gjomemo(1),Myra B. Cohen(1),Cuiyun Gao(1),Vincenzo Chiaramida(1)
A2HC@AAMAS/A-HEALTH@PAAMS,Aldo Franco Dragoni(2),Davide Calvaresi(2),Michael Schumacher 0001(2),Sara Montagna(2),Giorgio C. Buttazzo(1),Michael Ignaz Schumacher(1),Rebecka Janols(1),Jean Marie Dembele(1),Alessandro Ricci(1),Tiago Oliveira 0002(1)
