A. A. Soliman,11
A. Ben Hamza,20
A. Chockalingam,10
A. E. Eiben,19
A. Galip Ulsoy,12
A. Hamid Aghvami,25
A. J. Han Vinck,19
A. J. Lacey,10
A. K. M. Najmul Islam,13
A. K. Misra,10
A. Kumar,11
A. Lee Swindlehurst,30
A. M. Day,10
A. Mani,10
A. N. Rajagopalan,11
A. Prasad Sistla,32
A. Prasad Vinod,18
A. S. Madhukumar,21
A. Selcuk Uluagac,11
A. Stephen Morse,19
A. Tanju Erdem,13
A. Taufiq Asyhari,11
A. V. Babu 0001,11
A. W. Roscoe 0001,17
Aarne Mämmelä,24
Aaron B. Wagner,18
Aaron D. Ames,18
Aaron E. Rosenberg,11
Aaron Fenster,23
Aaron J. Quigley,13
Aaron M. Dollar,11
Aaron Marcus,12
Aaron Paulos,10
Aaron Potechin,13
Aaron Steinfeld,13
Aaron Striegel,21
Aaron Stump,21
Aaron T. Becker,13
Aart van Halteren,13
Aarti Singh,13
Abbas Al-Refaie,12
Abbas Bradai,10
Abbas Heydarnoori,12
Abbas Jamalipour,20
Abbas Mohammadi 0002,12
Abd-Krim Seghouane,20
Abdel Lisser,12
Abdel-Badeeh M. Salem,16
Abdel-Hameed A. Badawy,11
Abdel-Illah Mouaddib,17
Abdelali El Aroudi,16
Abdelaziz Hmamed,13
Abdelfatah Charef,12
Abdelghani Benharref,13
Abdelghani Chibani,13
Abdelhak M. Zoubir,28
Abdelhamid Bouchachia,18
Abdelkader Hameurlain,22
Abdelkader Lahmadi,12
Abdelkrim Haqiq,11
Abdellah Adib,18
Abdellah Benzaouia,17
Abdellatif Kobbane,13
Abdelli Abdelkrim,12
Abdelmajid Ben Hamadou,24
Abdelmalek Benzekri,19
Abdelwahab Hamou-Lhadj,19
Abdenour Bouzouane,19
Abderrahmane Kheddar,25
Abderrahmane Lakas,11
Abderrahmane Sbihi,10
Abdessamad Imine,19
Abdesselem Kortebi,10
Abdesslem Layeb,16
Abdolhossein Sarrafzadeh,12
Abdolreza Abhari,15
Abdolreza Safari,10
Abdul Azim Abdul Ghani,16
Abdul Hanan Abdullah,15
Abdul Sattar 0001,28
Abdul Wahab,11
Abdulhamit Subasi,16
Abdullah Kadri,11
Abdullah Konak,12
Abdullah Mueen,12
Abdur Rakib,12
Abe Kazemzadeh,12
Abel Torres,10
Abhijit Ghosh,12
Abhijit S. Pandya,11
Abhijnan Chakraborty,10
Abhinav Vishnu,12
Abhir Bhalerao,21
Abhishek Chandra,16
Abhishek Dubey,14
Abhishek Halder,10
Abhishek Kathuria,10
Abhishek Singh,14
Abhronil Sengupta,10
Abigail Morrison,16
Abir Smiti,10
Abla Kammoun,10
Abolfazl Mehbodniya,12
Abolfazl Razi,11
Abolfazl Toroghi Haghighat,13
Aboul Ella Hassanien,19
Abraham Duarte,17
Abraham Lempel,12
Abraham Mehrez,12
Abraham Seidmann,15
Abraham Silberschatz,30
Abram Hindle,17
Abu B. Sesay,15
Abualsoud Hanani,10
Achille Fokoue,17
Achilleas Achilleos,10
Achilleas Anastasopoulos,21
Achim Koberstein,10
Achim Streit,21
Achla Marathe,12
Ad J. van de Goor,14
Ada Gavrilovska,11
Adam Barker,16
Adam D. I. Kramer,12
Adam D. Smith,20
Adam Dabrowski,10
Adam Doupé,11
Adam Grzech,13
Adam Hahn,11
Adam Huang,11
Adam J. Aviv,14
Adam Janiak,13
Adam Molin,11
Adam Moody,11
Adam N. Letchford,23
Adam Noel,10
Adam P. Arkin,14
Adam Rambousek,13
Adam Roegiest,10
Adam Sedziwy,13
Adam Tauman Kalai,18
Adam Trendowicz,15
Adam Wierman,19
Adam Wright,16
Adams Wai-Kin Kong,19
Adarshpal S. Sethi,16
Adeel Razi,13
Adel Al-Jumaily,13
Adel Belouchrani,24
Adel Ben Mnaouer,17
Adel Bouhoula,14
Adel Elmaghraby,17
Adel Guitouni,11
Adel Javanmard,13
Adel Nadjaran Toosi,11
Adel Taweel,10
Adele A. Rescigno,14
Adelinde M. Uhrmacher,23
Ademar Aguiar,18
Adenilso da Silva Simão,20
Adhemar Bultheel,19
Adil M. Bagirov,21
Adil Mehmood Khan,12
Adilson Gonzaga,10
Adisorn Lertsinsrubtavee,11
Aditya Bhaskara,11
Aditya Gopalan,10
Aditya Joshi,11
Aditya P. Mathur,32
Aditya Ramamoorthy,18
Aditya V. Nori,14
Aditya Vempaty,10
Adnan Al-Anbuky,11
Adnan Darwiche,29
Adnan Khashman,10
Adnan M. Alattar,10
Adolfy Hoisie,12
Adonios Thanailakis,15
Adrian A. Hopgood,14
Adrian David Cheok,23
Adrian E. Conway,12
Adrian Iftene,15
Adrian K. Agogino,17
Adrian M. Caulfield,11
Adrian N. Evans,10
Adrian Neagu,10
Adrian Paschke,16
Adrian Segall,19
Adrian-Horia Dediu,11
Adriana Dapena,25
Adriana Hansberg,10
Adriana J. Berlanga,11
