#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
*SEM@NAACL-HLT,A New Dataset and Evaluation for Belief/Factuality. (18)
10th Anniversary Colloquium of UNU/IIST,A Tool Architecture for the Next Generation of Uppaal. (4)
25 Years GULP,Agents, Multi-Agent Systems and Declarative Programming: What, When, Where, Why, Who, How? (5)
3D Multiscale Physiological Human,Coupled Biomechanical Modeling of the Face, Jaw, Skull, Tongue, and Hyoid Bone. (7),Clinical Gait Analysis and Musculoskeletal Modeling. (7)
3D Research Challenges in Cultural Heritage,Enrichment and Preservation of Architectural Knowledge. (11)
3D-GIS,Development of Country Mosaic Using IRS-WiFS Data. (5),Automatic Generation of Pseudo Continuous LoDs for 3D Polyhedral Building Model. (5),Reconstruction of Complex Buildings using LIDAR and 2D Maps. (5),Macro to Micro Archaeological Documentation: Building a 3D GIS Model for Jerash City and the Artemis Temple. (5),Volumetric Spatiotemporal Data Model. (5),Research on a feature based spatio-temporal data model. (5),3D Modeling Moving Objects under Uncertainty Conditions. (5),Digital Terrain Models Derived from SRTM Data and Kriging. (5)
3DCVE@VR,When the giant meets the ant an asymmetric approach for collaborative and concurrent object manipulation in a multi-scale environment. (6)
3DIM,Scanning and Processing 3D Objects for Web Display. (11)
3DOR@Eurographics,Monocular Image Based 3D Model Retrieval. (40)
3DTV-Conference,Wireless controller for interactive virtual reality games. (10)
3DV (Workshops),Kinect Deform: Enhanced 3D Reconstruction of Non-rigidly Deforming Objects. (6),Semantic Parametric Reshaping of Human Body Models. (6),4D Capture Using Visibility Information of Multiple Projector Camera System. (6),A Methodology for Creating Large Scale Reference Models with Known Uncertainty for Evaluating Imaging Solution. (6)
3PGCIC,Towards an Educational Model for Lifelong Learning. (12),The OFIDIA Fire Danger Rating System. (12)
5G World Forum,A 5G Radio-Light SDN Architecture for Wireless and Mobile Network Access in Buildings. (26)
5GU,Research topics and initial results for the fifth generation (5G) mobile network. (9)
6G SUMMIT,Benchmarking Q-Learning Methods for Intelligent Network Orchestration in the Edge. (10),Mandate-driven Networking Eco-system: A Paradigm Shift in End-to-End Communications. (10)
A Guide to Publishing for Academics,Happy Marriage or Odd Couple: Reflections on Editing the Journal of Homeland Security and Emergency Management. (2)
A K Peters/CRC Press,VR Developer Gems, 1st Edition (1)
A Perspective in Theoretical Computer Science,Generalized Parikh Vector and Public Key Cryptosystems. (5)
A-MOST,A subset of precise UML for model-based testing. (6),An integrated method for designing user interfaces based on tests. (6)
A-Mobile@ASE,Exploring the effects of ad schemes on the performance cost of mobile phones. (5)
A2HC@AAMAS/A-HEALTH@PAAMS,Event Calculus Agent Minds Applied to Diabetes Monitoring. (8)
AAA-IDEA,Towards user-friendly mobile browsing. (7)
AAAI (Late-Breaking Developments),Negative Influence Minimizing by Blocking Nodes in Social Networks. (6),Movie Recommender System for Profit Maximization (Short LBP). (6)
AAAI Fall Symposia,HowNutsAreTheDutch: Personalized Feedback on a National Scale. (12)
AAAI Fall Symposium: Adaptive Agents in Cultural Contexts,Generating Adaptive Behaviors for Simulation-based Training. (5),Cultural Modeling in a Game Theoretic Framework. (5)
AAAI Fall Symposium: Artificial Intelligence for Gerontechnology,Automated Fall Risk Assessment and Detection in the Home: A Preliminary Investigation. (6)
AAAI Fall Symposium: Artificial Intelligence of Humor,Experimental Standards in Research on AI and Humor When Considering Psychology. (5)
AAAI Fall Symposium: Aurally Informed Performance,Embedded and Integrated Audition for a Mobile Robot. (5),Are You Talking to Me? Dialogue Systems Supporting Mixed Teams of Humans and Robots. (5)
AAAI Fall Symposium: Capturing and Using Patterns for Evidence Detection,Tracking Quantity Fluctuations Using STT. (11)
AAAI Fall Symposium: Coevolutionary and Coadaptive Systems,Asynchronous Chess. (3)
AAAI Fall Symposium: Computational Approaches to Representation Change during Learning and Development,Representing Systems with Hidden State. (4)
AAAI Fall Symposium: Human Control of Bioinspired Swarms,Investigating Neglect Benevolence and Communication Latency During Human-Swarm Interaction. (6),Robotic Swarm Connectivity with Human Operation and Bandwidth Limitations. (6)
AAAI Fall Symposium: Machine Aggregation of Human Judgment,The Good Judgment Project: A Large Scale Test of Different Methods of Combining Expert Predictions. (5)
AAAI Fall Symposium: Manifold Learning and Its Applications,Invited Talk Abstracts. (5)
AAAI Fall Symposium: Multimedia Information Extraction,Multimedia Information Extraction Roadmap. (7),Automatic Detection, Indexing, and Retrieval of Multiple Attributes from Cross-lingual Multimedia Data. (7)
AAAI Fall Symposium: Question Generation,Evaluating Questions in Context. (4),Augmenting Conversational Characters with Generated Question-Answer Pairs. (4),Evaluating HILDA in the CODA Project: A Case Study in Question Generation Using Automatic Discourse Analysis. (4),A New Approach to Ranking Over-Generated Questions. (4)
AAAI Fall Symposium: Robots Learning Interactively from Human Teachers,Learning to Avoid Collisions. (8)
AAAI Fall Symposium: Semantic Web for Collaborative Knowledge Acquisition,Using the Semantic Web to Support Ecoinformatics. (9)
AAAI Spring Symposia,Cognitive Assistance to Meal Preparation: Design, Implementation, and Assessment in a Living Lab. (20)
AAAI Spring Symposium: Agents that Learn from Human Teachers,Question Asking to Inform Preference Learning: A Case Study. (4)
AAAI Spring Symposium: Analyzing Microtext,Toward Personality Insights from Language Exploration in Social Media. (9)
AAAI Spring Symposium: Artificial Intelligence for Development,Intelligent Heartsound Diagnostics on a Cellphone Using a Hands-Free Kit. (4),Human Mobility in Advanced and Developing Economies: A Comparative Analysis. (4),Learning to Identify Locally Actionable Health Anomalies. (4),Using Data Mining to Combat Infrastructure Inefficiencies: The Case of Predicting Nonpayment for Ethiopian Telecom. (4),Reality Mining Africa. (4),An Approach for Mining Accumulated Crop Cultivation Problems and their Solutions. (4),Document Classification for Focused Topics. (4),Case for Automated Detection of Diabetic Retinopathy. (4)
AAAI Spring Symposium: Benchmarking of Qualitative Spatial and Temporal Reasoning Systems,CleanTax: A Framework for Reasoning about Taxonomies. (3),Qualitative Constraints for Job Shop Scheduling. (3),Towards a Theory of Application for QSTR Systems. (3),SimSpace: A Tool to Interpret Route Instructions with Qualitative Spatial Knowledge. (3),GQR: A Fast Solver for Binary Qualitative Constraint Networks. (3)
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering,On Datasets for Evaluating Architectures for Learning to Reason. (6),KINN: Incorporating Expert Knowledge in Neural Networks. (6),Proceedings of the AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering (AAAI-MAKE 2019) Stanford University, Palo Alto, California, USA, March 25-27, 2019., Stanford University, Palo Alto, California, USA, March 25-27, 2019. (6),Towards an Assistive and Pattern Learning-driven Process Modeling Approach. (6)
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering (1),Proceedings of the AAAI 2020 Spring Symposium on Combining Machine Learning and Knowledge Engineering in Practice, AAAI-MAKE 2020, Palo Alto, CA, USA, March 23-25, 2020, Volume I (7),EM-algorithm Enpowers Material Science: Application of Inverse Estimation for Small Angle Scattering. (7)
AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs,A Weblog Grounded to the Real World. (15)
AAAI Spring Symposium: Computational Physiology,Ambulatory Assessment of Lifestyle Factors for Alzheimer's Disease and Related Dementias. (7)
AAAI Spring Symposium: Data Driven Wellness,Online Population-Based Patient Registry to Collect and Share Health-related Data of Rare Disease Patients. (5),Adaptive Agent for Player-Specific Fitness and Health Incentives in Mobile Location Based Games. (5)
AAAI Spring Symposium: Emotion, Personality, and Social Behavior,The Personality-Enabled Architecture for Cognition (PAC). (10)
AAAI Spring Symposium: Human Behavior Modeling,Honest Signals in the Recognition of Functional Relational Roles in Meetings. (4),Human Behavior Modeling with Maximum Entropy Inverse Optimal Control. (4)
AAAI Spring Symposium: Intentions in Intelligent Systems,Beyond the Ad-Hoc and the Impractically Formal: Lessons from the Implementation of Formalisms of Intention. (3),Confirming Changes in Beliefs and Intentions. (3)
AAAI Spring Symposium: Interaction Challenges for Intelligent Assistants,Integrating Multiple Representations of Spatial Knowledge for Mapping, Navigation, and Communication. (6)
AAAI Spring Symposium: Interpretable AI for Well-being,Toward Good Circadian Rhythm through an valuate of Stress Condition. (8)
AAAI Spring Symposium: It's All in the Timing,As Time Goes By: Representing and Reasoning About Timing in Human-Robot Interaction Studies. (5)
AAAI Spring Symposium: Reasoning with Mental and External Diagrams: Computational Modeling and Spatial Assistance,Explanations in Diagram, Word, and Gesture. (5),The Cognitive Conceptual Approach as a Leitmotif for Map Design. (5)
AAAI Spring Symposium: Self-Tracking and Collective Intelligence for Personal Wellness,Smartphone-Based Self Management System for Type-2 Diabetes Patients. (9)
AAAI Spring Symposium: Semantic Web Meets eGovernment,Transparent Accountable Data Mining: New Strategies for Privacy Protection. (9)
AAAI Spring Symposium: Social Information Processing,Augmented Social Cognition. (6)
AAAI Spring Symposium: Social Semantic Web: Where Web 2.0 Meets Web 3.0,Using the Social SemanticWeb to Support eSocial Science. (6)
AAAI Spring Symposium: Technosocial Predictive Analytics,Predicting the Impact of Climate Change on U.S. Power Grids and Its Wider Implications on National Security. (12)
AAAI Spring Symposium: What Went Wrong and Why: Lessons from AI Research and Applications,Electric Elves: What Went Wrong and Why. (6)
AAAI Technical Report (2),Empirical Comparison of Incremental Learning Strategies for Genetic Programming-Based Keep-Away Soccer Agents. (4),Stochastic Direct Reinforcement: Application to Simple Games with Recurrence. (4)
AAAI Technical Report (5),A Biologically Inspired Adaptive Working Memory for Robots. (5)
AAAI Workshop: AI, Ethics, and Society,AI, Ethics, and Society, Papers from the 2016 AAAI Workshop, Phoenix, Arizona, USA, February 13, 2016. (7)
AAAI Workshop: Declarative Learning Based Programming,RELOOP: A Python-Embedded Declarative Language for Relational Optimization. (5)
AAAI Workshop: Incentive and Trust in E-Communities,Incentive and Trust in E-Communities, Papers from the 2015 AAAI Workshop, Austin, Texas, USA, January 25, 2015. (4)
AAAI Workshop: Incentives and Trust in Electronic Communities,TRM: Computing Reputation Score by Mining Reviews. (6)
AAAI Workshop: Knowledge Extraction from Text,EmoGram: An Open-Source Time Sequence-Based Emotion Tracker and Its Innovative Applications. (5),Extending Biology Models with Deep NLP over Scientific Articles. (5),Creating a Mars Target Encyclopedia by Extracting Information from the Planetary Science Literature. (5)
AAAI Workshop: Learning Rich Representations from Low-Level Sensors,Preface. (4)
AAAI Workshop: Learning for General Competency in Video Games,Learning for General Competency in Video Games, Papers from the 2015 AAAI Workshop, Austin, Texas, USA, January 26, 2015. (5)
AAAI Workshop: Modern Artificial Intelligence for Health Analytics,A Machine Learning Approach to Predicting Blood Glucose Levels for Diabetes Management. (5),Detection of Behavior Change in People with Depression. (5)
AAAI Workshop: Multiagent Interaction without Prior Coordination,Identifying and Tracking Switching, Non-Stationary Opponents: A Bayesian Approach. (5)
AAAI Workshop: Space, Time, and Ambient Intelligence,An Approach to Numeric Refinement in Description Logic Learning for Learning Activities Duration in Smart Homes. (4)
AAAI Workshops,A Predictive Analytics Methodology to Assess and Optimize Readmission Risk in Heart Failure Patients. (13)
AAAI/IAAI,PROVERB: The Probabilistic Cruciverbalist. (10),A Situated Vacuuming Robot. (10)
AAAI/IAAI, Vol. 1,Declarative Camera Control for Automatic Cinematography. (6)
AAATE Conf.,Interacting with Dementia: The MARIO Approach. (16)
AABI,MultiVerse: Causal Reasoning using Importance Sampling in Probabilistic Programming. (7)
AADIOS,Algebraic and Algorithmic Aspects of Differential and Integral Operators - 5th International Meeting, AADIOS 2012, Held at the Applications of Computer Algebra Conference, ACA 2012, Sofia, Bulgaria, June 25-28, 2012, Selected and Invited Papers (4)
AAL,A New Living Lab for Usability Evaluation of ICT and Next Generation Networks for Elderly@Home. (17)
AAMAS (1),Evolutionary testing of autonomous software agents. (6),But that was in another country: agents and intercultural empathy. (6),Effective solutions for real-world Stackelberg games: when agents must deal with human uncertainties. (6),Actor-agent application for train driver rescheduling. (6),A framework for monitoring agent-based normative systems. (6),Graph-based methods for the analysis of large-scale multiagent systems. (6),Computing optimal randomized resource allocations for massive security games. (6),Autonomous geocaching: navigation and goal finding in outdoor domains. (6),Integrating heterogeneous agent programming platforms within artifact-based environments. (6)
AAMAS Workshops,Flood Disaster Mitigation: A Real-World Challenge Problem for Multi-agent Unmanned Surface Vehicles. (11)
AAMAS-TRUST,Art Competition: Agent Designs to Handle Negotiation Challenges. (5)
AB,Translating Time-Course Gene Expression Profiles into Semi-algebraic Hybrid Automata Via Dimensionality Reduction. (7)
ABZ,On the Importance of Explicit Domain Modelling in Refinement-Based Modelling Design. Experiments with Event-B. (10)
ABiALS,Anticipation of Time Spans: New Data from the Foreperiod Paradigm and the Adaptation of a Computational Model. (4),Anticipatory Behavior in Adaptive Learning Systems, From Psychological Theories to Artificial Cognitive Systems [4th Workshop on Anticipatory Behavior in Adaptive Learning Systems, ABiALS 2008, Munich, Germany, June 26-27, 2008] (4),From Sensorimotor to Higher-Level Cognitive Processes: An Introduction to Anticipatory Behavior Systems. (4),Anticipatory Learning Classifier Systems and Factored Reinforcement Learning. (4),Anticipatory Driving for a Robot-Car Based on Supervised Learning. (4),Collision-Avoidance Characteristics of Grasping. (4)
ACA,EffectFace: A Fast and Efficient Deep Neural Network Model for Face Recognition. (9)
ACC (1),An Efficient Routing Protocol for Ad-Hoc Networks. (6)
ACC (4),Advances in Computing and Communications - First International Conference, ACC 2011, Kochi, India, July 22-24, 2011, Proceedings, Part IV (5),Data Privacy for Grid Systems. (5),Two Layered Hierarchical Model for Cognitive Wireless Sensor Networks. (5)
ACCAS,MRI Based Sulcal Pattern Analysis for Diagnosis and Clinical Application in Neurosurgery. (13)
ACCV (2),Superpixel Classification Based Optic Disc Segmentation. (9)
ACCV (5),Blur-Resilient Tracking Using Group Sparsity. (9),Stereo Ground Truth with Error Bars. (9)
ACCV Workshops (2),Discriminative Subtree Selection for NBI Endoscopic Image Labeling. (11)
ACDC@ICAC,Tashi: location-aware cluster management. (10)
ACES-MB&WUCOR@MoDELS,Joint Proceedings of the 8th International Workshop on Model-based Architecting of Cyber-physical and Embedded Systems and 1st International Workshop on UML Consistency Rules (ACES-MB 2015 & WUCOR 2015) co-located with ACM/IEEE 18th International Conference on Model Driven Engineering Languages and Systems (MoDELS 2015), Ottawa, Canada, September 28, 2015. (9)
ACFIE,Layering and Enveloping: Simplified Algorithm with Balancing Loop Fuzzy Petri Net. (5),( ELEMENT OF , ELEMENT OF OR q(lambda, µ))-Fuzzy h-Ideals of Hemirings. (5),Displacements Back Analysis for Soft Pit Excavation Based on Genetic Algorithms. (5),An Empirical Study on the Contribution of Export of Horticultural Products to the Growth of Agricultural Economy. (5)
ACG,Towards a Solution of 7x7 Go with Meta-MCTS. (11)
ACII,Imputing Missing Social Media Data Stream in Multisensor Studies of Human Behavior. (25)
ACIIDS (3),Quantitative Measurement of Nerve Cells and Myelin Sheaths from Microscopic Images via Two-Staged Segmentation. (7)
ACIIDS (Companion),Social Role in Organizational Management Understanding People Behavior and Motivation. (10)
ACISP,Separating Encryption and Key Issuance in Digital Rights Management Systems. (9)
ACITY (2),A Novel Genetic Algorithm Based Data Embedding Technique in Frequency Domain Using Z Transform (ANGAFDZT). (6),Multi-temporal Satellite Image Analysis Using Unsupervised Techniques. (6)
ACIVS,Adaptive Image Content-Based Exposure Control for Scanning Applications in Radiography. (28)
ACL (1),SParC: Cross-Domain Semantic Parsing in Context. (19)
ACL (4),DeepPavlov: Open-Source Library for Dialogue Systems. (20)
ACL (Companion Volume),Using a WWW Search Engine to Evaluate Normalization Performance for a Highly Inflectional Language. (3)
